layer,alpha,n_total,n_valid,n_match,success_rate
0,0.5,12,12,5,0.4167
0,1.0,12,12,5,0.4167
0,1.5,12,12,5,0.4167
0,2.0,12,12,5,0.4167
0,2.5,12,11,5,0.4545
1,0.5,12,12,5,0.4167
1,1.0,12,12,6,0.5
1,1.5,12,12,6,0.5
1,2.0,12,12,5,0.4167
1,2.5,12,12,5,0.4167
2,0.5,12,10,5,0.5
2,1.0,12,10,5,0.5
2,1.5,12,10,5,0.5
2,2.0,12,10,5,0.5
2,2.5,12,10,4,0.4
3,0.5,12,12,5,0.4167
3,1.0,12,12,5,0.4167
3,1.5,12,12,4,0.3333
3,2.0,12,12,4,0.3333
3,2.5,12,11,4,0.3636
4,0.5,12,12,6,0.5
4,1.0,12,12,6,0.5
4,1.5,12,12,6,0.5
4,2.0,12,12,6,0.5
4,2.5,12,12,6,0.5
5,0.5,12,12,5,0.4167
5,1.0,12,12,4,0.3333
5,1.5,12,12,5,0.4167
5,2.0,12,12,5,0.4167
5,2.5,12,12,4,0.3333
6,0.5,12,12,5,0.4167
6,1.0,12,12,5,0.4167
6,1.5,12,12,5,0.4167
6,2.0,12,12,5,0.4167
6,2.5,12,12,4,0.3333
7,0.5,12,12,4,0.3333
7,1.0,12,12,5,0.4167
7,1.5,12,12,5,0.4167
7,2.0,12,12,5,0.4167
7,2.5,12,11,5,0.4545
8,0.5,12,12,5,0.4167
8,1.0,12,12,6,0.5
8,1.5,12,12,6,0.5
8,2.0,12,12,7,0.5833
8,2.5,12,12,7,0.5833
9,0.5,12,12,6,0.5
9,1.0,12,12,6,0.5
9,1.5,12,12,7,0.5833
9,2.0,12,12,7,0.5833
9,2.5,12,12,8,0.6667
10,0.5,12,12,6,0.5
10,1.0,12,12,7,0.5833
10,1.5,12,12,7,0.5833
10,2.0,12,12,8,0.6667
10,2.5,12,12,6,0.5
11,0.5,12,12,6,0.5
11,1.0,12,11,6,0.5455
11,1.5,12,12,7,0.5833
11,2.0,12,12,7,0.5833
11,2.5,12,12,7,0.5833
12,0.5,12,12,7,0.5833
12,1.0,12,12,7,0.5833
12,1.5,12,12,7,0.5833
12,2.0,12,12,8,0.6667
12,2.5,12,12,5,0.4167
13,0.5,12,12,6,0.5
13,1.0,12,12,7,0.5833
13,1.5,12,12,7,0.5833
13,2.0,12,12,7,0.5833
13,2.5,12,11,5,0.4545
14,0.5,12,12,7,0.5833
14,1.0,12,11,6,0.5455
14,1.5,12,12,5,0.4167
14,2.0,12,12,6,0.5
14,2.5,12,12,5,0.4167
15,0.5,12,12,6,0.5
15,1.0,12,12,6,0.5
15,1.5,12,12,5,0.4167
15,2.0,12,12,5,0.4167
15,2.5,12,12,2,0.1667
16,0.5,12,11,3,0.2727
16,1.0,12,10,5,0.5
16,1.5,12,10,5,0.5
16,2.0,12,10,3,0.3
16,2.5,12,10,4,0.4
17,0.5,12,12,6,0.5
17,1.0,12,12,6,0.5
17,1.5,12,12,6,0.5
17,2.0,12,12,3,0.25
17,2.5,12,12,4,0.3333
18,0.5,12,12,6,0.5
18,1.0,12,12,6,0.5
18,1.5,12,12,6,0.5
18,2.0,12,12,6,0.5
18,2.5,12,12,3,0.25
19,0.5,12,12,5,0.4167
19,1.0,12,12,5,0.4167
19,1.5,12,12,4,0.3333
19,2.0,12,12,4,0.3333
19,2.5,12,12,3,0.25
20,0.5,12,10,4,0.4
20,1.0,12,11,5,0.4545
20,1.5,12,10,3,0.3
20,2.0,12,11,3,0.2727
20,2.5,12,11,2,0.1818
21,0.5,12,12,5,0.4167
21,1.0,12,12,5,0.4167
21,1.5,12,12,4,0.3333
21,2.0,12,12,3,0.25
21,2.5,12,12,2,0.1667
22,0.5,12,10,3,0.3
22,1.0,12,10,3,0.3
22,1.5,12,11,3,0.2727
22,2.0,12,10,2,0.2
22,2.5,12,10,3,0.3
23,0.5,12,12,4,0.3333
23,1.0,12,12,3,0.25
23,1.5,12,12,3,0.25
23,2.0,12,12,4,0.3333
23,2.5,12,12,3,0.25
24,0.5,12,12,5,0.4167
24,1.0,12,12,3,0.25
24,1.5,12,12,3,0.25
24,2.0,12,12,4,0.3333
24,2.5,12,12,3,0.25
25,0.5,12,10,3,0.3
25,1.0,12,10,2,0.2
25,1.5,12,9,2,0.2222
25,2.0,12,12,3,0.25
25,2.5,12,11,1,0.0909
26,0.5,12,11,3,0.2727
26,1.0,12,11,2,0.1818
26,1.5,12,11,2,0.1818
26,2.0,12,10,1,0.1
26,2.5,12,10,1,0.1
27,0.5,12,12,4,0.3333
27,1.0,12,12,3,0.25
27,1.5,12,12,3,0.25
27,2.0,12,12,2,0.1667
27,2.5,12,12,0,0.0
28,0.5,12,10,3,0.3
28,1.0,12,12,3,0.25
28,1.5,12,11,3,0.2727
28,2.0,12,11,2,0.1818
28,2.5,12,11,0,0.0
29,0.5,12,12,6,0.5
29,1.0,12,12,4,0.3333
29,1.5,12,12,3,0.25
29,2.0,12,12,3,0.25
29,2.5,12,12,2,0.1667
30,0.5,12,12,4,0.3333
30,1.0,12,12,4,0.3333
30,1.5,12,12,5,0.4167
30,2.0,12,12,0,0.0
30,2.5,12,12,0,0.0
31,0.5,12,12,2,0.1667
31,1.0,12,12,0,0.0
31,1.5,12,11,0,0.0
31,2.0,12,12,0,0.0
31,2.5,12,11,0,0.0
