layer,alpha,n_total,n_valid,n_match,success_rate
0,0.5,27,27,26,0.963
0,1.0,27,27,26,0.963
0,1.5,27,27,26,0.963
0,2.0,27,27,26,0.963
0,2.5,27,27,26,0.963
1,0.5,27,26,25,0.9615
1,1.0,27,27,26,0.963
1,1.5,27,27,26,0.963
1,2.0,27,27,26,0.963
1,2.5,27,27,26,0.963
2,0.5,27,27,26,0.963
2,1.0,27,27,26,0.963
2,1.5,27,27,26,0.963
2,2.0,27,27,26,0.963
2,2.5,27,27,26,0.963
3,0.5,27,27,26,0.963
3,1.0,27,27,26,0.963
3,1.5,27,27,26,0.963
3,2.0,27,26,25,0.9615
3,2.5,27,26,25,0.9615
4,0.5,27,27,26,0.963
4,1.0,27,27,26,0.963
4,1.5,27,27,26,0.963
4,2.0,27,26,25,0.9615
4,2.5,27,26,25,0.9615
5,0.5,27,27,26,0.963
5,1.0,27,27,26,0.963
5,1.5,27,27,26,0.963
5,2.0,27,27,26,0.963
5,2.5,27,27,26,0.963
6,0.5,27,27,26,0.963
6,1.0,27,27,26,0.963
6,1.5,27,27,26,0.963
6,2.0,27,27,26,0.963
6,2.5,27,27,26,0.963
7,0.5,27,27,26,0.963
7,1.0,27,27,26,0.963
7,1.5,27,26,25,0.9615
7,2.0,27,27,26,0.963
7,2.5,27,26,25,0.9615
8,0.5,27,27,26,0.963
8,1.0,27,27,26,0.963
8,1.5,27,27,26,0.963
8,2.0,27,27,27,1.0
8,2.5,27,27,27,1.0
9,0.5,27,27,26,0.963
9,1.0,27,27,27,1.0
9,1.5,27,27,27,1.0
9,2.0,27,26,26,1.0
9,2.5,27,27,27,1.0
10,0.5,27,27,27,1.0
10,1.0,27,27,27,1.0
10,1.5,27,27,27,1.0
10,2.0,27,26,26,1.0
10,2.5,27,27,27,1.0
11,0.5,27,27,27,1.0
11,1.0,27,27,27,1.0
11,1.5,27,27,27,1.0
11,2.0,27,27,27,1.0
11,2.5,27,27,27,1.0
12,0.5,27,27,27,1.0
12,1.0,27,26,26,1.0
12,1.5,27,27,27,1.0
12,2.0,27,27,27,1.0
12,2.5,27,27,25,0.9259
13,0.5,27,26,26,1.0
13,1.0,27,27,27,1.0
13,1.5,27,27,26,0.963
13,2.0,27,26,26,1.0
13,2.5,27,27,26,0.963
14,0.5,27,27,27,1.0
14,1.0,27,27,27,1.0
14,1.5,27,27,27,1.0
14,2.0,27,27,27,1.0
14,2.5,27,27,24,0.8889
15,0.5,27,27,26,0.963
15,1.0,27,27,27,1.0
15,1.5,27,27,27,1.0
15,2.0,27,27,26,0.963
15,2.5,27,27,26,0.963
16,0.5,27,27,26,0.963
16,1.0,27,26,26,1.0
16,1.5,27,27,27,1.0
16,2.0,27,27,26,0.963
16,2.5,27,27,25,0.9259
17,0.5,27,27,26,0.963
17,1.0,27,27,27,1.0
17,1.5,27,26,26,1.0
17,2.0,27,27,27,1.0
17,2.5,27,27,27,1.0
18,0.5,27,27,26,0.963
18,1.0,27,27,27,1.0
18,1.5,27,27,27,1.0
18,2.0,27,27,27,1.0
18,2.5,27,27,27,1.0
19,0.5,27,27,26,0.963
19,1.0,27,27,26,0.963
19,1.5,27,27,26,0.963
19,2.0,27,27,26,0.963
19,2.5,27,27,26,0.963
20,0.5,27,27,26,0.963
20,1.0,27,27,26,0.963
20,1.5,27,27,25,0.9259
20,2.0,27,27,26,0.963
20,2.5,27,27,21,0.7778
21,0.5,27,27,26,0.963
21,1.0,27,27,26,0.963
21,1.5,27,27,25,0.9259
21,2.0,27,26,26,1.0
21,2.5,27,27,27,1.0
22,0.5,27,27,26,0.963
22,1.0,27,27,25,0.9259
22,1.5,27,27,26,0.963
22,2.0,27,27,26,0.963
22,2.5,27,27,26,0.963
23,0.5,27,27,26,0.963
23,1.0,27,27,25,0.9259
23,1.5,27,27,25,0.9259
23,2.0,27,27,25,0.9259
23,2.5,27,27,26,0.963
24,0.5,27,27,26,0.963
24,1.0,27,27,25,0.9259
24,1.5,27,27,25,0.9259
24,2.0,27,27,25,0.9259
24,2.5,27,27,25,0.9259
25,0.5,27,27,26,0.963
25,1.0,27,27,24,0.8889
25,1.5,27,27,26,0.963
25,2.0,27,25,24,0.96
25,2.5,27,26,25,0.9615
26,0.5,27,27,26,0.963
26,1.0,27,27,25,0.9259
26,1.5,27,27,26,0.963
26,2.0,27,27,26,0.963
26,2.5,27,27,24,0.8889
27,0.5,27,27,26,0.963
27,1.0,27,27,26,0.963
27,1.5,27,27,27,1.0
27,2.0,27,27,26,0.963
27,2.5,27,27,21,0.7778
28,0.5,27,27,26,0.963
28,1.0,27,27,26,0.963
28,1.5,27,27,26,0.963
28,2.0,27,27,25,0.9259
28,2.5,27,27,20,0.7407
29,0.5,27,27,26,0.963
29,1.0,27,27,25,0.9259
29,1.5,27,27,26,0.963
29,2.0,27,27,26,0.963
29,2.5,27,27,19,0.7037
30,0.5,27,26,25,0.9615
30,1.0,27,26,25,0.9615
30,1.5,27,25,24,0.96
30,2.0,27,25,24,0.96
30,2.5,27,25,14,0.56
31,0.5,27,27,26,0.963
31,1.0,27,27,0,0.0
31,1.5,27,27,0,0.0
31,2.0,27,27,0,0.0
31,2.5,27,27,0,0.0
