layer,alpha,n_total,n_valid,n_match,success_rate
0,0.1,27,27,26,0.963
0,0.2,27,27,26,0.963
0,0.3,27,27,26,0.963
0,0.4,27,27,26,0.963
0,0.5,27,27,26,0.963
0,0.6,27,27,26,0.963
0,0.7,27,27,26,0.963
0,0.8,27,26,25,0.9615
0,0.9,27,26,25,0.9615
0,1.0,27,27,26,0.963
0,1.5,27,27,26,0.963
0,2.0,27,27,26,0.963
0,2.5,27,27,26,0.963
1,0.1,27,27,26,0.963
1,0.2,27,27,26,0.963
1,0.3,27,26,25,0.9615
1,0.4,27,27,26,0.963
1,0.5,27,26,25,0.9615
1,0.6,27,26,25,0.9615
1,0.7,27,27,26,0.963
1,0.8,27,27,26,0.963
1,0.9,27,27,26,0.963
1,1.0,27,27,26,0.963
1,1.5,27,27,26,0.963
1,2.0,27,27,26,0.963
1,2.5,27,27,26,0.963
2,0.1,27,27,26,0.963
2,0.2,27,27,26,0.963
2,0.3,27,27,26,0.963
2,0.4,27,27,26,0.963
2,0.5,27,27,26,0.963
2,0.6,27,27,26,0.963
2,0.7,27,27,26,0.963
2,0.8,27,27,26,0.963
2,0.9,27,24,23,0.9583
2,1.0,27,27,26,0.963
2,1.5,27,27,26,0.963
2,2.0,27,27,26,0.963
2,2.5,27,27,26,0.963
3,0.1,27,27,26,0.963
3,0.2,27,27,26,0.963
3,0.3,27,27,26,0.963
3,0.4,27,27,26,0.963
3,0.5,27,27,26,0.963
3,0.6,27,27,26,0.963
3,0.7,27,27,26,0.963
3,0.8,27,27,26,0.963
3,0.9,27,27,26,0.963
3,1.0,27,27,26,0.963
3,1.5,27,27,26,0.963
3,2.0,27,26,25,0.9615
3,2.5,27,26,25,0.9615
4,0.1,27,27,26,0.963
4,0.2,27,27,26,0.963
4,0.3,27,27,26,0.963
4,0.4,27,26,25,0.9615
4,0.5,27,27,26,0.963
4,0.6,27,25,24,0.96
4,0.7,27,27,26,0.963
4,0.8,27,27,26,0.963
4,0.9,27,25,24,0.96
4,1.0,27,27,26,0.963
4,1.5,27,27,26,0.963
4,2.0,27,26,25,0.9615
4,2.5,27,26,25,0.9615
5,0.1,27,27,26,0.963
5,0.2,27,27,26,0.963
5,0.3,27,27,26,0.963
5,0.4,27,27,26,0.963
5,0.5,27,27,26,0.963
5,0.6,27,27,26,0.963
5,0.7,27,27,26,0.963
5,0.8,27,27,26,0.963
5,0.9,27,27,26,0.963
5,1.0,27,27,26,0.963
5,1.5,27,27,26,0.963
5,2.0,27,27,26,0.963
5,2.5,27,27,26,0.963
6,0.1,27,27,26,0.963
6,0.2,27,27,26,0.963
6,0.3,27,27,26,0.963
6,0.4,27,27,26,0.963
6,0.5,27,27,26,0.963
6,0.6,27,26,25,0.9615
6,0.7,27,26,25,0.9615
6,0.8,27,26,25,0.9615
6,0.9,27,27,26,0.963
6,1.0,27,27,26,0.963
6,1.5,27,27,26,0.963
6,2.0,27,27,26,0.963
6,2.5,27,27,26,0.963
7,0.1,27,27,26,0.963
7,0.2,27,27,26,0.963
7,0.3,27,26,25,0.9615
7,0.4,27,26,25,0.9615
7,0.5,27,27,26,0.963
7,0.6,27,27,26,0.963
7,0.7,27,27,26,0.963
7,0.8,27,27,26,0.963
7,0.9,27,24,23,0.9583
7,1.0,27,27,26,0.963
7,1.5,27,26,25,0.9615
7,2.0,27,27,26,0.963
7,2.5,27,26,25,0.9615
8,0.1,27,27,26,0.963
8,0.2,27,26,25,0.9615
8,0.3,27,27,26,0.963
8,0.4,27,27,26,0.963
8,0.5,27,27,26,0.963
8,0.6,27,27,26,0.963
8,0.7,27,27,26,0.963
8,0.8,27,27,26,0.963
8,0.9,27,27,26,0.963
8,1.0,27,27,26,0.963
8,1.5,27,27,26,0.963
8,2.0,27,27,27,1.0
8,2.5,27,27,27,1.0
9,0.1,27,27,26,0.963
9,0.2,27,27,26,0.963
9,0.3,27,27,26,0.963
9,0.4,27,27,26,0.963
9,0.5,27,27,26,0.963
9,0.6,27,27,27,1.0
9,0.7,27,27,27,1.0
9,0.8,27,27,27,1.0
9,0.9,27,27,27,1.0
9,1.0,27,27,27,1.0
9,1.5,27,27,27,1.0
9,2.0,27,26,26,1.0
9,2.5,27,27,27,1.0
10,0.1,27,27,26,0.963
10,0.2,27,26,25,0.9615
10,0.3,27,27,26,0.963
10,0.4,27,27,27,1.0
10,0.5,27,27,27,1.0
10,0.6,27,27,27,1.0
10,0.7,27,27,27,1.0
10,0.8,27,27,27,1.0
10,0.9,27,26,26,1.0
10,1.0,27,27,27,1.0
10,1.5,27,27,27,1.0
10,2.0,27,26,26,1.0
10,2.5,27,27,27,1.0
11,0.1,27,27,26,0.963
11,0.2,27,27,26,0.963
11,0.3,27,27,26,0.963
11,0.4,27,27,27,1.0
11,0.5,27,27,27,1.0
11,0.6,27,27,27,1.0
11,0.7,27,27,27,1.0
11,0.8,27,27,27,1.0
11,0.9,27,26,26,1.0
11,1.0,27,27,27,1.0
11,1.5,27,27,27,1.0
11,2.0,27,27,27,1.0
11,2.5,27,27,27,1.0
12,0.1,27,26,25,0.9615
12,0.2,27,27,27,1.0
12,0.3,27,27,27,1.0
12,0.4,27,27,27,1.0
12,0.5,27,27,27,1.0
12,0.6,27,25,25,1.0
12,0.7,27,27,27,1.0
12,0.8,27,27,27,1.0
12,0.9,27,26,26,1.0
12,1.0,27,26,26,1.0
12,1.5,27,27,27,1.0
12,2.0,27,27,27,1.0
12,2.5,27,27,25,0.9259
13,0.1,27,27,26,0.963
13,0.2,27,27,26,0.963
13,0.3,27,27,26,0.963
13,0.4,27,27,27,1.0
13,0.5,27,26,26,1.0
13,0.6,27,27,27,1.0
13,0.7,27,27,27,1.0
13,0.8,27,26,26,1.0
13,0.9,27,27,27,1.0
13,1.0,27,27,27,1.0
13,1.5,27,27,26,0.963
13,2.0,27,26,26,1.0
13,2.5,27,27,26,0.963
14,0.1,27,27,26,0.963
14,0.2,27,27,26,0.963
14,0.3,27,27,26,0.963
14,0.4,27,27,27,1.0
14,0.5,27,27,27,1.0
14,0.6,27,27,27,1.0
14,0.7,27,27,27,1.0
14,0.8,27,27,27,1.0
14,0.9,27,26,26,1.0
14,1.0,27,27,27,1.0
14,1.5,27,27,27,1.0
14,2.0,27,27,27,1.0
14,2.5,27,27,24,0.8889
15,0.1,27,27,26,0.963
15,0.2,27,27,26,0.963
15,0.3,27,27,26,0.963
15,0.4,27,27,26,0.963
15,0.5,27,27,26,0.963
15,0.6,27,27,27,1.0
15,0.7,27,27,27,1.0
15,0.8,27,27,27,1.0
15,0.9,27,27,27,1.0
15,1.0,27,27,27,1.0
15,1.5,27,27,27,1.0
15,2.0,27,27,26,0.963
