layer,alpha,n_total,n_valid,n_match,success_rate
0,0.5,48,48,46,0.9583
0,1.0,48,48,46,0.9583
0,1.5,48,48,46,0.9583
0,2.0,48,48,46,0.9583
0,2.5,48,47,45,0.9574
1,0.5,48,48,46,0.9583
1,1.0,48,48,46,0.9583
1,1.5,48,47,45,0.9574
1,2.0,48,48,46,0.9583
1,2.5,48,48,46,0.9583
2,0.5,48,48,46,0.9583
2,1.0,48,48,46,0.9583
2,1.5,48,48,46,0.9583
2,2.0,48,47,45,0.9574
2,2.5,48,47,45,0.9574
3,0.5,48,48,46,0.9583
3,1.0,48,48,46,0.9583
3,1.5,48,48,46,0.9583
3,2.0,48,47,45,0.9574
3,2.5,48,47,45,0.9574
4,0.5,48,48,46,0.9583
4,1.0,48,48,46,0.9583
4,1.5,48,48,46,0.9583
4,2.0,48,48,46,0.9583
4,2.5,48,47,45,0.9574
5,0.5,48,48,46,0.9583
5,1.0,48,48,46,0.9583
5,1.5,48,48,46,0.9583
5,2.0,48,48,46,0.9583
5,2.5,48,47,45,0.9574
6,0.5,48,48,46,0.9583
6,1.0,48,47,45,0.9574
6,1.5,48,48,46,0.9583
6,2.0,48,48,46,0.9583
6,2.5,48,48,46,0.9583
7,0.5,48,46,45,0.9783
7,1.0,48,48,46,0.9583
7,1.5,48,46,45,0.9783
7,2.0,48,48,46,0.9583
7,2.5,48,48,46,0.9583
8,0.5,48,48,46,0.9583
8,1.0,48,48,46,0.9583
8,1.5,48,48,46,0.9583
8,2.0,48,48,46,0.9583
8,2.5,48,48,46,0.9583
9,0.5,48,47,46,0.9787
9,1.0,48,46,45,0.9783
9,1.5,48,45,45,1.0
9,2.0,48,45,44,0.9778
9,2.5,48,46,45,0.9783
10,0.5,48,46,44,0.9565
10,1.0,48,46,44,0.9565
10,1.5,48,46,45,0.9783
10,2.0,48,46,45,0.9783
10,2.5,48,47,46,0.9787
11,0.5,48,48,46,0.9583
11,1.0,48,48,45,0.9375
11,1.5,48,48,46,0.9583
11,2.0,48,48,46,0.9583
11,2.5,48,48,46,0.9583
12,0.5,48,45,44,0.9778
12,1.0,48,46,45,0.9783
12,1.5,48,46,44,0.9565
12,2.0,48,46,44,0.9565
12,2.5,48,46,44,0.9565
13,0.5,48,48,47,0.9792
13,1.0,48,48,47,0.9792
13,1.5,48,48,47,0.9792
13,2.0,48,47,46,0.9787
13,2.5,48,48,47,0.9792
14,0.5,48,48,46,0.9583
14,1.0,48,48,47,0.9792
14,1.5,48,48,47,0.9792
14,2.0,48,48,46,0.9583
14,2.5,48,48,46,0.9583
15,0.5,48,47,45,0.9574
15,1.0,48,47,46,0.9787
15,1.5,48,46,45,0.9783
15,2.0,48,46,45,0.9783
15,2.5,48,46,43,0.9348
16,0.5,48,48,46,0.9583
16,1.0,48,48,47,0.9792
16,1.5,48,48,46,0.9583
16,2.0,48,47,44,0.9362
16,2.5,48,48,42,0.875
17,0.5,48,46,46,1.0
17,1.0,48,46,45,0.9783
17,1.5,48,47,46,0.9787
17,2.0,48,46,45,0.9783
17,2.5,48,46,45,0.9783
18,0.5,48,48,46,0.9583
18,1.0,48,48,46,0.9583
18,1.5,48,48,46,0.9583
18,2.0,48,48,45,0.9375
18,2.5,48,48,44,0.9167
19,0.5,48,48,47,0.9792
19,1.0,48,48,46,0.9583
19,1.5,48,48,46,0.9583
19,2.0,48,46,44,0.9565
19,2.5,48,48,43,0.8958
20,0.5,48,48,47,0.9792
20,1.0,48,48,46,0.9583
20,1.5,48,48,46,0.9583
20,2.0,48,47,45,0.9574
20,2.5,48,47,43,0.9149
21,0.5,48,48,47,0.9792
21,1.0,48,48,46,0.9583
21,1.5,48,48,46,0.9583
21,2.0,48,48,46,0.9583
21,2.5,48,47,43,0.9149
22,0.5,48,46,45,0.9783
22,1.0,48,46,45,0.9783
22,1.5,48,46,45,0.9783
22,2.0,48,46,43,0.9348
22,2.5,48,46,42,0.913
23,0.5,48,46,45,0.9783
23,1.0,48,46,45,0.9783
23,1.5,48,46,44,0.9565
23,2.0,48,46,43,0.9348
23,2.5,48,45,42,0.9333
24,0.5,48,48,47,0.9792
24,1.0,48,48,47,0.9792
24,1.5,48,48,45,0.9375
24,2.0,48,48,46,0.9583
24,2.5,48,47,44,0.9362
25,0.5,48,47,46,0.9787
25,1.0,48,47,46,0.9787
25,1.5,48,47,43,0.9149
25,2.0,48,47,45,0.9574
25,2.5,48,47,43,0.9149
26,0.5,48,47,46,0.9787
26,1.0,48,46,44,0.9565
26,1.5,48,46,43,0.9348
26,2.0,48,47,45,0.9574
26,2.5,48,47,43,0.9149
27,0.5,48,48,47,0.9792
27,1.0,48,48,47,0.9792
27,1.5,48,45,41,0.9111
27,2.0,48,48,44,0.9167
27,2.5,48,47,42,0.8936
28,0.5,48,48,47,0.9792
28,1.0,48,48,47,0.9792
28,1.5,48,48,46,0.9583
28,2.0,48,48,43,0.8958
28,2.5,48,48,43,0.8958
29,0.5,48,48,46,0.9583
29,1.0,48,48,46,0.9583
29,1.5,48,48,46,0.9583
29,2.0,48,48,44,0.9167
29,2.5,48,48,33,0.6875
30,0.5,48,48,46,0.9583
30,1.0,48,48,47,0.9792
30,1.5,48,48,47,0.9792
30,2.0,48,48,46,0.9583
30,2.5,48,48,41,0.8542
31,0.5,48,46,41,0.8913
31,1.0,48,48,0,0.0
31,1.5,48,48,0,0.0
31,2.0,48,47,0,0.0
31,2.5,48,48,0,0.0
