layer,alpha,n_total,n_valid,n_match,success_rate
0,0.1,47,46,44,0.9565
0,0.2,47,47,45,0.9574
0,0.3,47,47,45,0.9574
0,0.4,47,47,45,0.9574
0,0.5,47,47,44,0.9362
0,0.6,47,46,44,0.9565
0,0.7,47,47,45,0.9574
0,0.8,47,45,43,0.9556
0,0.9,47,46,44,0.9565
0,1.0,47,47,44,0.9362
0,1.5,47,47,44,0.9362
0,2.0,47,47,44,0.9362
0,2.5,47,47,44,0.9362
1,0.1,47,47,44,0.9362
1,0.2,47,47,44,0.9362
1,0.3,47,47,44,0.9362
1,0.4,47,47,44,0.9362
1,0.5,47,47,44,0.9362
1,0.6,47,46,43,0.9348
1,0.7,47,47,44,0.9362
1,0.8,47,47,44,0.9362
1,0.9,47,45,42,0.9333
1,1.0,47,47,44,0.9362
1,1.5,47,47,44,0.9362
1,2.0,47,47,44,0.9362
1,2.5,47,46,44,0.9565
2,0.1,47,47,43,0.9149
2,0.2,47,47,43,0.9149
2,0.3,47,47,43,0.9149
2,0.4,47,47,43,0.9149
2,0.5,47,47,44,0.9362
2,0.6,47,47,43,0.9149
2,0.7,47,47,43,0.9149
2,0.8,47,47,43,0.9149
2,0.9,47,47,43,0.9149
2,1.0,47,47,44,0.9362
2,1.5,47,47,44,0.9362
2,2.0,47,47,44,0.9362
2,2.5,47,45,41,0.9111
3,0.1,47,47,44,0.9362
3,0.2,47,47,44,0.9362
3,0.3,47,47,44,0.9362
3,0.4,47,47,44,0.9362
3,0.5,47,47,44,0.9362
3,0.6,47,47,44,0.9362
3,0.7,47,46,42,0.913
3,0.8,47,46,43,0.9348
3,0.9,47,44,42,0.9545
3,1.0,47,47,44,0.9362
3,1.5,47,47,44,0.9362
3,2.0,47,46,43,0.9348
3,2.5,47,45,42,0.9333
4,0.1,47,47,44,0.9362
4,0.2,47,47,44,0.9362
4,0.3,47,47,44,0.9362
4,0.4,47,47,44,0.9362
4,0.5,47,47,45,0.9574
4,0.6,47,47,44,0.9362
4,0.7,47,47,44,0.9362
4,0.8,47,47,44,0.9362
4,0.9,47,46,43,0.9348
4,1.0,47,47,45,0.9574
4,1.5,47,47,45,0.9574
4,2.0,47,47,45,0.9574
4,2.5,47,45,43,0.9556
5,0.1,47,47,44,0.9362
5,0.2,47,47,44,0.9362
5,0.3,47,47,44,0.9362
5,0.4,47,47,44,0.9362
5,0.5,47,46,44,0.9565
5,0.6,47,47,44,0.9362
5,0.7,47,47,44,0.9362
5,0.8,47,46,43,0.9348
5,0.9,47,47,44,0.9362
5,1.0,47,47,44,0.9362
5,1.5,47,46,43,0.9348
5,2.0,47,47,44,0.9362
5,2.5,47,46,43,0.9348
6,0.1,47,46,43,0.9348
6,0.2,47,47,44,0.9362
6,0.3,47,46,43,0.9348
6,0.4,47,47,44,0.9362
6,0.5,47,47,45,0.9574
6,0.6,47,47,44,0.9362
6,0.7,47,47,44,0.9362
6,0.8,47,47,44,0.9362
6,0.9,47,46,43,0.9348
6,1.0,47,47,45,0.9574
6,1.5,47,47,45,0.9574
6,2.0,47,47,45,0.9574
6,2.5,47,47,44,0.9362
7,0.1,47,47,44,0.9362
7,0.2,47,47,44,0.9362
7,0.3,47,47,44,0.9362
7,0.4,47,47,44,0.9362
7,0.5,47,47,44,0.9362
7,0.6,47,47,44,0.9362
7,0.7,47,47,44,0.9362
7,0.8,47,47,44,0.9362
7,0.9,47,47,44,0.9362
7,1.0,47,47,44,0.9362
7,1.5,47,47,43,0.9149
7,2.0,47,47,44,0.9362
7,2.5,47,46,43,0.9348
8,0.1,47,47,44,0.9362
8,0.2,47,47,44,0.9362
8,0.3,47,47,44,0.9362
8,0.4,47,46,43,0.9348
8,0.5,47,47,44,0.9362
8,0.6,47,47,44,0.9362
8,0.7,47,47,44,0.9362
8,0.8,47,46,43,0.9348
8,0.9,47,47,44,0.9362
8,1.0,47,46,43,0.9348
8,1.5,47,47,44,0.9362
8,2.0,47,47,44,0.9362
8,2.5,47,47,44,0.9362
9,0.1,47,47,44,0.9362
9,0.2,47,47,44,0.9362
9,0.3,47,47,44,0.9362
9,0.4,47,47,44,0.9362
9,0.5,47,47,45,0.9574
9,0.6,47,46,43,0.9348
9,0.7,47,47,45,0.9574
9,0.8,47,47,45,0.9574
9,0.9,47,47,45,0.9574
9,1.0,47,47,45,0.9574
9,1.5,47,47,44,0.9362
9,2.0,47,47,44,0.9362
9,2.5,47,46,44,0.9565
10,0.1,47,47,44,0.9362
10,0.2,47,47,44,0.9362
10,0.3,47,47,44,0.9362
10,0.4,47,47,44,0.9362
10,0.5,47,47,45,0.9574
10,0.6,47,47,44,0.9362
10,0.7,47,47,44,0.9362
10,0.8,47,47,44,0.9362
10,0.9,47,45,44,0.9778
10,1.0,47,45,43,0.9556
10,1.5,47,45,43,0.9556
10,2.0,47,44,43,0.9773
10,2.5,47,45,44,0.9778
11,0.1,47,46,43,0.9348
11,0.2,47,47,44,0.9362
11,0.3,47,47,43,0.9149
11,0.4,47,47,44,0.9362
11,0.5,47,47,45,0.9574
11,0.6,47,46,44,0.9565
11,0.7,47,47,44,0.9362
11,0.8,47,47,45,0.9574
11,0.9,47,45,44,0.9778
11,1.0,47,47,45,0.9574
11,1.5,47,47,46,0.9787
11,2.0,47,47,46,0.9787
11,2.5,47,46,44,0.9565
12,0.1,47,47,44,0.9362
12,0.2,47,47,45,0.9574
12,0.3,47,47,45,0.9574
12,0.4,47,47,45,0.9574
12,0.5,47,46,44,0.9565
12,0.6,47,46,44,0.9565
12,0.7,47,46,44,0.9565
12,0.8,47,47,46,0.9787
12,0.9,47,47,46,0.9787
12,1.0,47,45,44,0.9778
12,1.5,47,45,44,0.9778
12,2.0,47,44,43,0.9773
12,2.5,47,45,44,0.9778
13,0.1,47,47,44,0.9362
13,0.2,47,47,45,0.9574
13,0.3,47,47,44,0.9362
13,0.4,47,46,44,0.9565
13,0.5,47,47,46,0.9787
13,0.6,47,47,46,0.9787
13,0.7,47,47,46,0.9787
13,0.8,47,47,46,0.9787
13,0.9,47,45,44,0.9778
13,1.0,47,47,46,0.9787
13,1.5,47,47,46,0.9787
13,2.0,47,47,46,0.9787
13,2.5,47,47,46,0.9787
14,0.1,47,47,44,0.9362
14,0.2,47,47,44,0.9362
14,0.3,47,47,46,0.9787
14,0.4,47,47,46,0.9787
14,0.5,47,47,46,0.9787
14,0.6,47,46,45,0.9783
14,0.7,47,47,46,0.9787
14,0.8,47,46,45,0.9783
14,0.9,47,47,46,0.9787
14,1.0,47,47,46,0.9787
14,1.5,47,47,45,0.9574
14,2.0,47,46,44,0.9565
14,2.5,47,47,43,0.9149
15,0.1,47,46,43,0.9348
15,0.2,47,47,44,0.9362
15,0.3,47,47,45,0.9574
