layer,alpha,n_total,n_valid,n_match,success_rate
0,0.1,55,55,51,0.9273
0,0.2,55,55,51,0.9273
0,0.3,55,55,51,0.9273
0,0.4,55,55,51,0.9273
0,0.5,55,54,51,0.9444
0,0.6,55,55,51,0.9273
0,0.7,55,55,51,0.9273
0,0.8,55,55,51,0.9273
0,0.9,55,54,50,0.9259
0,1.0,55,54,51,0.9444
0,1.5,55,54,51,0.9444
0,2.0,55,54,51,0.9444
0,2.5,55,54,51,0.9444
1,0.1,55,55,50,0.9091
1,0.2,55,55,50,0.9091
1,0.3,55,55,51,0.9273
1,0.4,55,54,50,0.9259
1,0.5,55,55,51,0.9273
1,0.6,55,54,50,0.9259
1,0.7,55,54,50,0.9259
1,0.8,55,55,51,0.9273
1,0.9,55,55,51,0.9273
1,1.0,55,55,51,0.9273
1,1.5,55,54,50,0.9259
1,2.0,55,55,51,0.9273
1,2.5,55,55,51,0.9273
2,0.1,55,55,50,0.9091
2,0.2,55,54,49,0.9074
2,0.3,55,55,51,0.9273
2,0.4,55,55,51,0.9273
2,0.5,55,55,51,0.9273
2,0.6,55,55,51,0.9273
2,0.7,55,55,51,0.9273
2,0.8,55,55,51,0.9273
2,0.9,55,55,51,0.9273
2,1.0,55,55,51,0.9273
2,1.5,55,54,50,0.9259
2,2.0,55,55,51,0.9273
2,2.5,55,55,51,0.9273
3,0.1,55,55,50,0.9091
3,0.2,55,55,50,0.9091
3,0.3,55,55,51,0.9273
3,0.4,55,55,51,0.9273
3,0.5,55,55,51,0.9273
3,0.6,55,55,51,0.9273
3,0.7,55,55,51,0.9273
3,0.8,55,55,51,0.9273
3,0.9,55,54,50,0.9259
3,1.0,55,55,51,0.9273
3,1.5,55,55,51,0.9273
3,2.0,55,55,51,0.9273
3,2.5,55,53,48,0.9057
4,0.1,55,55,50,0.9091
4,0.2,55,55,50,0.9091
4,0.3,55,55,51,0.9273
4,0.4,55,55,51,0.9273
4,0.5,55,55,51,0.9273
4,0.6,55,55,51,0.9273
4,0.7,55,55,51,0.9273
4,0.8,55,53,48,0.9057
4,0.9,55,53,49,0.9245
4,1.0,55,55,50,0.9091
4,1.5,55,54,49,0.9074
4,2.0,55,54,49,0.9074
4,2.5,55,53,48,0.9057
5,0.1,55,55,50,0.9091
5,0.2,55,54,49,0.9074
5,0.3,55,55,51,0.9273
5,0.4,55,55,51,0.9273
5,0.5,55,54,51,0.9444
5,0.6,55,55,51,0.9273
5,0.7,55,55,51,0.9273
5,0.8,55,55,51,0.9273
5,0.9,55,55,51,0.9273
5,1.0,55,55,52,0.9455
5,1.5,55,55,52,0.9455
5,2.0,55,55,52,0.9455
5,2.5,55,55,52,0.9455
6,0.1,55,55,50,0.9091
6,0.2,55,55,50,0.9091
6,0.3,55,54,50,0.9259
6,0.4,55,55,51,0.9273
6,0.5,55,55,52,0.9455
6,0.6,55,55,51,0.9273
6,0.7,55,54,50,0.9259
6,0.8,55,54,50,0.9259
6,0.9,55,54,50,0.9259
6,1.0,55,55,52,0.9455
6,1.5,55,55,50,0.9091
6,2.0,55,55,50,0.9091
6,2.5,55,53,48,0.9057
7,0.1,55,55,51,0.9273
7,0.2,55,55,51,0.9273
7,0.3,55,55,51,0.9273
7,0.4,55,54,50,0.9259
7,0.5,55,55,52,0.9455
7,0.6,55,55,51,0.9273
7,0.7,55,55,51,0.9273
7,0.8,55,55,50,0.9091
7,0.9,55,55,48,0.8727
7,1.0,55,55,50,0.9091
7,1.5,55,55,50,0.9091
7,2.0,55,55,50,0.9091
7,2.5,55,52,46,0.8846
8,0.1,55,55,51,0.9273
8,0.2,55,55,51,0.9273
8,0.3,55,55,51,0.9273
8,0.4,55,55,51,0.9273
8,0.5,55,55,51,0.9273
8,0.6,55,54,51,0.9444
8,0.7,55,55,51,0.9273
8,0.8,55,55,51,0.9273
8,0.9,55,54,50,0.9259
8,1.0,55,55,51,0.9273
8,1.5,55,54,48,0.8889
8,2.0,55,55,49,0.8909
8,2.5,55,54,48,0.8889
9,0.1,55,54,51,0.9444
9,0.2,55,54,51,0.9444
9,0.3,55,54,49,0.9074
9,0.4,55,54,49,0.9074
9,0.5,55,55,50,0.9091
9,0.6,55,54,49,0.9074
9,0.7,55,55,50,0.9091
9,0.8,55,54,51,0.9444
9,0.9,55,53,50,0.9434
9,1.0,55,55,49,0.8909
9,1.5,55,55,49,0.8909
9,2.0,55,55,50,0.9091
9,2.5,55,52,47,0.9038
10,0.1,55,55,52,0.9455
10,0.2,55,55,52,0.9455
10,0.3,55,55,50,0.9091
10,0.4,55,55,50,0.9091
10,0.5,55,55,50,0.9091
10,0.6,55,55,50,0.9091
10,0.7,55,55,49,0.8909
10,0.8,55,55,50,0.9091
10,0.9,55,55,50,0.9091
10,1.0,55,54,50,0.9259
10,1.5,55,53,49,0.9245
10,2.0,55,53,50,0.9434
10,2.5,55,53,49,0.9245
11,0.1,55,55,52,0.9455
11,0.2,55,55,52,0.9455
11,0.3,55,55,51,0.9273
11,0.4,55,55,51,0.9273
11,0.5,55,55,49,0.8909
11,0.6,55,54,49,0.9074
11,0.7,55,53,49,0.9245
11,0.8,55,55,50,0.9091
11,0.9,55,55,51,0.9273
11,1.0,55,55,50,0.9091
11,1.5,55,55,51,0.9273
11,2.0,55,55,51,0.9273
11,2.5,55,55,50,0.9091
12,0.1,55,55,52,0.9455
12,0.2,55,55,52,0.9455
12,0.3,55,54,51,0.9444
12,0.4,55,55,50,0.9091
12,0.5,55,55,51,0.9273
12,0.6,55,55,51,0.9273
12,0.7,55,55,52,0.9455
12,0.8,55,55,52,0.9455
12,0.9,55,55,52,0.9455
12,1.0,55,55,50,0.9091
12,1.5,55,55,54,0.9818
12,2.0,55,55,52,0.9455
12,2.5,55,55,49,0.8909
13,0.1,55,55,50,0.9091
13,0.2,55,55,49,0.8909
13,0.3,55,54,49,0.9074
13,0.4,55,55,51,0.9273
13,0.5,55,53,50,0.9434
13,0.6,55,55,51,0.9273
13,0.7,55,55,53,0.9636
13,0.8,55,55,51,0.9273
13,0.9,55,55,51,0.9273
13,1.0,55,53,49,0.9245
13,1.5,55,54,52,0.963
13,2.0,55,53,51,0.9623
13,2.5,55,53,50,0.9434
14,0.1,55,55,51,0.9273
14,0.2,55,55,50,0.9091
14,0.3,55,55,51,0.9273
14,0.4,55,55,52,0.9455
14,0.5,55,55,52,0.9455
14,0.6,55,55,51,0.9273
14,0.7,55,55,51,0.9273
14,0.8,55,55,52,0.9455
14,0.9,55,54,52,0.963
14,1.0,55,55,52,0.9455
14,1.5,55,55,54,0.9818
14,2.0,55,55,53,0.9636
14,2.5,55,55,53,0.9636
15,0.1,55,55,49,0.8909
15,0.2,55,55,51,0.9273
15,0.3,55,55,52,0.9455
15,0.4,55,53,50,0.9434
15,0.5,55,55,52,0.9455
15,0.6,55,55,51,0.9273
15,0.7,55,55,51,0.9273
15,0.8,55,55,52,0.9455
15,0.9,55,55,52,0.9455
15,1.0,55,55,51,0.9273
15,1.5,55,55,51,0.9273
15,2.0,55,55,52,0.9455
15,2.5,55,55,51,0.9273
16,0.1,55,55,49,0.8909
16,0.2,55,55,50,0.9091
16,0.3,55,54,50,0.9259
16,0.4,55,54,50,0.9259
