layer,alpha,n_total,n_valid,n_match,success_rate
0,0.1,59,59,18,0.3051
0,0.2,59,58,18,0.3103
0,0.3,59,59,17,0.2881
0,0.4,59,57,17,0.2982
0,0.5,59,59,18,0.3051
0,0.6,59,58,17,0.2931
0,0.7,59,58,17,0.2931
0,0.8,59,59,18,0.3051
0,0.9,59,56,16,0.2857
0,1.0,59,59,18,0.3051
0,1.5,59,59,18,0.3051
0,2.0,59,59,18,0.3051
0,2.5,59,58,18,0.3103
1,0.1,59,59,18,0.3051
1,0.2,59,59,18,0.3051
1,0.3,59,59,18,0.3051
1,0.4,59,59,18,0.3051
1,0.5,59,59,18,0.3051
1,0.6,59,57,18,0.3158
1,0.7,59,59,18,0.3051
1,0.8,59,59,18,0.3051
1,0.9,59,58,17,0.2931
1,1.0,59,59,19,0.322
1,1.5,59,59,18,0.3051
1,2.0,59,58,20,0.3448
1,2.5,59,58,20,0.3448
2,0.1,59,58,18,0.3103
2,0.2,59,59,18,0.3051
2,0.3,59,58,18,0.3103
2,0.4,59,58,18,0.3103
2,0.5,59,59,20,0.339
2,0.6,59,59,18,0.3051
2,0.7,59,59,18,0.3051
2,0.8,59,58,17,0.2931
2,0.9,59,57,17,0.2982
2,1.0,59,58,19,0.3276
2,1.5,59,59,20,0.339
2,2.0,59,58,20,0.3448
2,2.5,59,57,21,0.3684
3,0.1,59,58,18,0.3103
3,0.2,59,58,18,0.3103
3,0.3,59,57,18,0.3158
3,0.4,59,56,18,0.3214
3,0.5,59,58,20,0.3448
3,0.6,59,57,19,0.3333
3,0.7,59,57,19,0.3333
3,0.8,59,58,19,0.3276
3,0.9,59,57,18,0.3158
3,1.0,59,59,20,0.339
3,1.5,59,58,20,0.3448
3,2.0,59,58,19,0.3276
3,2.5,59,59,20,0.339
4,0.1,59,58,17,0.2931
4,0.2,59,59,18,0.3051
4,0.3,59,59,18,0.3051
4,0.4,59,59,18,0.3051
4,0.5,59,59,18,0.3051
4,0.6,59,59,18,0.3051
4,0.7,59,58,17,0.2931
4,0.8,59,59,18,0.3051
4,0.9,59,58,18,0.3103
4,1.0,59,59,18,0.3051
4,1.5,59,59,17,0.2881
4,2.0,59,59,17,0.2881
4,2.5,59,59,17,0.2881
5,0.1,59,58,18,0.3103
5,0.2,59,59,18,0.3051
5,0.3,59,58,18,0.3103
5,0.4,59,59,19,0.322
5,0.5,59,59,20,0.339
5,0.6,59,58,17,0.2931
5,0.7,59,59,19,0.322
5,0.8,59,58,18,0.3103
5,0.9,59,59,18,0.3051
5,1.0,59,59,20,0.339
5,1.5,59,59,20,0.339
5,2.0,59,59,20,0.339
5,2.5,59,58,19,0.3276
6,0.1,59,59,18,0.3051
6,0.2,59,59,18,0.3051
6,0.3,59,59,18,0.3051
6,0.4,59,59,18,0.3051
6,0.5,59,59,20,0.339
6,0.6,59,59,18,0.3051
6,0.7,59,58,17,0.2931
6,0.8,59,58,18,0.3103
6,0.9,59,59,19,0.322
6,1.0,59,59,21,0.3559
6,1.5,59,59,20,0.339
6,2.0,59,57,20,0.3509
6,2.5,59,59,20,0.339
7,0.1,59,59,20,0.339
7,0.2,59,59,20,0.339
7,0.3,59,59,20,0.339
7,0.4,59,57,19,0.3333
7,0.5,59,57,17,0.2982
7,0.6,59,59,19,0.322
7,0.7,59,59,19,0.322
7,0.8,59,58,19,0.3276
7,0.9,59,59,20,0.339
7,1.0,59,57,18,0.3158
7,1.5,59,57,19,0.3333
7,2.0,59,57,20,0.3509
7,2.5,59,56,20,0.3571
8,0.1,59,59,18,0.3051
