layer,alpha,n_total,n_valid,n_match,success_rate
0,0.1,60,60,47,0.7833
0,0.2,60,60,47,0.7833
0,0.3,60,60,47,0.7833
0,0.4,60,59,46,0.7797
0,0.5,43,43,33,0.7674
0,0.6,60,59,46,0.7797
0,0.7,60,60,47,0.7833
0,0.8,60,60,47,0.7833
0,0.9,60,60,47,0.7833
0,1.0,43,43,33,0.7674
0,1.5,43,43,33,0.7674
0,2.0,43,43,33,0.7674
0,2.5,43,41,31,0.7561
1,0.1,60,60,46,0.7667
1,0.2,60,60,46,0.7667
1,0.3,60,60,46,0.7667
1,0.4,60,60,46,0.7667
1,0.5,43,43,33,0.7674
1,0.6,60,58,44,0.7586
1,0.7,60,59,45,0.7627
1,0.8,60,58,45,0.7759
1,0.9,60,59,46,0.7797
1,1.0,43,43,33,0.7674
1,1.5,43,43,33,0.7674
1,2.0,43,43,33,0.7674
1,2.5,43,43,34,0.7907
2,0.1,60,59,45,0.7627
2,0.2,60,60,45,0.75
2,0.3,60,59,44,0.7458
2,0.4,60,60,45,0.75
2,0.5,43,43,33,0.7674
2,0.6,60,60,45,0.75
2,0.7,60,59,44,0.7458
2,0.8,60,60,45,0.75
2,0.9,60,59,44,0.7458
2,1.0,43,43,33,0.7674
2,1.5,43,43,33,0.7674
2,2.0,43,43,33,0.7674
2,2.5,43,41,32,0.7805
3,0.1,60,59,46,0.7797
3,0.2,60,59,46,0.7797
3,0.3,60,60,47,0.7833
3,0.4,60,60,47,0.7833
3,0.5,43,43,33,0.7674
3,0.6,60,60,46,0.7667
3,0.7,60,60,46,0.7667
3,0.8,60,59,46,0.7797
3,0.9,60,58,44,0.7586
3,1.0,43,43,33,0.7674
3,1.5,43,43,33,0.7674
3,2.0,43,43,33,0.7674
3,2.5,43,42,32,0.7619
4,0.1,60,60,47,0.7833
4,0.2,60,60,47,0.7833
4,0.3,60,60,47,0.7833
4,0.4,60,59,46,0.7797
4,0.5,43,43,35,0.814
4,0.6,60,59,45,0.7627
4,0.7,60,60,47,0.7833
4,0.8,60,60,47,0.7833
4,0.9,60,60,47,0.7833
4,1.0,43,42,34,0.8095
4,1.5,43,43,35,0.814
4,2.0,43,43,35,0.814
4,2.5,43,42,34,0.8095
5,0.1,60,60,47,0.7833
5,0.2,60,60,47,0.7833
5,0.3,60,60,47,0.7833
5,0.4,60,60,47,0.7833
5,0.5,43,43,34,0.7907
5,0.6,60,60,46,0.7667
5,0.7,60,60,47,0.7833
5,0.8,60,60,47,0.7833
5,0.9,60,60,47,0.7833
5,1.0,43,43,34,0.7907
5,1.5,43,42,33,0.7857
5,2.0,43,43,36,0.8372
5,2.5,43,42,35,0.8333
6,0.1,60,60,47,0.7833
6,0.2,60,59,46,0.7797
6,0.3,60,60,47,0.7833
6,0.4,60,59,47,0.7966
6,0.5,43,42,34,0.8095
6,0.6,60,60,47,0.7833
6,0.7,60,60,48,0.8
6,0.8,60,59,47,0.7966
6,0.9,60,58,46,0.7931
6,1.0,43,43,34,0.7907
6,1.5,43,43,34,0.7907
6,2.0,43,43,34,0.7907
6,2.5,43,41,33,0.8049
7,0.1,60,60,46,0.7667
7,0.2,60,60,46,0.7667
7,0.3,60,60,46,0.7667
7,0.4,60,59,45,0.7627
7,0.5,43,43,32,0.7442
7,0.6,60,57,45,0.7895
7,0.7,60,59,45,0.7627
7,0.8,60,60,47,0.7833
7,0.9,60,60,45,0.75
7,1.0,43,43,32,0.7442
7,1.5,43,42,34,0.8095
7,2.0,43,43,35,0.814
7,2.5,43,40,33,0.825
8,0.1,60,59,45,0.7627
8,0.2,60,60,46,0.7667
8,0.3,60,60,47,0.7833
8,0.4,60,59,46,0.7797
8,0.5,43,43,33,0.7674
8,0.6,60,58,45,0.7759
8,0.7,60,60,49,0.8167
8,0.8,60,60,50,0.8333
8,0.9,60,58,46,0.7931
8,1.0,43,42,33,0.7857
8,1.5,43,41,34,0.8293
8,2.0,43,43,36,0.8372
8,2.5,43,41,34,0.8293
9,0.1,60,60,47,0.7833
9,0.2,60,60,47,0.7833
9,0.3,60,59,46,0.7797
9,0.4,60,60,47,0.7833
9,0.5,43,43,34,0.7907
9,0.6,60,59,46,0.7797
9,0.7,60,58,45,0.7759
9,0.8,60,57,44,0.7719
9,0.9,60,58,45,0.7759
9,1.0,43,43,35,0.814
9,1.5,43,43,36,0.8372
9,2.0,43,42,36,0.8571
9,2.5,43,42,37,0.881
10,0.1,60,60,47,0.7833
10,0.2,60,60,47,0.7833
10,0.3,60,60,47,0.7833
10,0.4,60,60,47,0.7833
10,0.5,43,43,32,0.7442
10,0.6,60,59,44,0.7458
10,0.7,60,60,45,0.75
10,0.8,60,60,45,0.75
10,0.9,60,56,42,0.75
10,1.0,43,43,33,0.7674
10,1.5,43,43,32,0.7442
10,2.0,43,43,32,0.7442
10,2.5,43,42,32,0.7619
11,0.1,60,60,46,0.7667
11,0.2,60,60,46,0.7667
11,0.3,60,60,46,0.7667
11,0.4,60,59,45,0.7627
11,0.5,43,43,33,0.7674
11,0.6,60,59,43,0.7288
11,0.7,60,58,42,0.7241
11,0.8,60,60,44,0.7333
11,0.9,60,60,44,0.7333
11,1.0,43,43,33,0.7674
11,1.5,43,42,32,0.7619
11,2.0,43,43,33,0.7674
11,2.5,43,42,31,0.7381
12,0.1,60,59,44,0.7458
12,0.2,60,60,45,0.75
12,0.3,60,58,44,0.7586
12,0.4,60,58,42,0.7241
12,0.5,43,43,33,0.7674
12,0.6,60,60,43,0.7167
12,0.7,60,60,43,0.7167
12,0.8,60,60,43,0.7167
12,0.9,60,59,42,0.7119
12,1.0,43,42,33,0.7857
12,1.5,43,43,33,0.7674
12,2.0,43,43,34,0.7907
12,2.5,43,40,31,0.775
13,0.1,60,60,46,0.7667
13,0.2,60,60,46,0.7667
13,0.3,60,60,46,0.7667
13,0.4,60,60,46,0.7667
13,0.5,43,43,33,0.7674
13,0.6,60,60,45,0.75
13,0.7,60,60,44,0.7333
13,0.8,60,60,46,0.7667
13,0.9,60,59,45,0.7627
13,1.0,43,42,33,0.7857
13,1.5,43,43,34,0.7907
13,2.0,43,43,34,0.7907
13,2.5,43,42,35,0.8333
14,0.1,60,60,46,0.7667
14,0.2,60,60,46,0.7667
14,0.3,60,59,45,0.7627
14,0.4,60,60,46,0.7667
14,0.5,43,43,32,0.7442
14,0.6,60,60,44,0.7333
14,0.7,60,58,42,0.7241
14,0.8,60,60,45,0.75
14,0.9,60,59,44,0.7458
14,1.0,43,43,33,0.7674
14,1.5,43,43,33,0.7674
14,2.0,43,42,33,0.7857
14,2.5,43,43,36,0.8372
15,0.1,60,59,45,0.7627
15,0.2,60,59,45,0.7627
15,0.3,60,59,45,0.7627
15,0.4,60,58,42,0.7241
15,0.5,43,43,32,0.7442
15,0.6,60,57,43,0.7544
15,0.7,60,58,44,0.7586
15,0.8,60,59,44,0.7458
15,0.9,60,58,43,0.7414
15,1.0,43,43,32,0.7442
15,1.5,43,43,33,0.7674
15,2.0,43,41,31,0.7561
15,2.5,43,42,32,0.7619
16,0.1,60,60,46,0.7667
16,0.2,60,60,46,0.7667
16,0.3,60,59,47,0.7966
16,0.4,60,60,48,0.8
16,0.5,43,43,36,0.8372
16,0.6,60,60,48,0.8
16,0.7,60,60,48,0.8
16,0.8,60,58,45,0.7759
16,0.9,60,59,49,0.8305
16,1.0,43,43,36,0.8372
16,1.5,43,43,36,0.8372
16,2.0,43,43,37,0.8605
16,2.5,43,43,39,0.907
17,0.1,60,58,47,0.8103
17,0.2,60,58,48,0.8276
17,0.3,60,59,49,0.8305
17,0.4,60,59,49,0.8305
17,0.5,43,43,38,0.8837
17,0.6,60,59,51,0.8644
17,0.7,60,58,50,0.8621
17,0.8,60,58,48,0.8276
17,0.9,60,59,50,0.8475
17,1.0,43,43,40,0.9302
17,1.5,43,43,39,0.907
17,2.0,43,43,39,0.907
17,2.5,43,43,40,0.9302
18,0.1,60,58,47,0.8103
18,0.2,60,58,48,0.8276
18,0.3,60,59,51,0.8644
18,0.4,60,57,49,0.8596
18,0.5,43,43,39,0.907
18,0.6,60,58,51,0.8793
18,0.7,60,59,52,0.8814
18,0.8,60,59,53,0.8983
18,0.9,60,58,52,0.8966
18,1.0,43,43,40,0.9302
18,1.5,43,42,40,0.9524
18,2.0,43,42,41,0.9762
18,2.5,43,43,42,0.9767
19,0.1,60,60,48,0.8
19,0.2,60,60,51,0.85
19,0.3,60,60,52,0.8667
19,0.4,60,60,52,0.8667
19,0.5,43,43,39,0.907
19,0.6,60,60,54,0.9
19,0.7,60,60,54,0.9
19,0.8,60,60,54,0.9
19,0.9,60,59,53,0.8983
19,1.0,43,43,41,0.9535
19,1.5,43,43,42,0.9767
19,2.0,43,43,41,0.9535
19,2.5,43,42,40,0.9524
20,0.1,60,57,47,0.8246
20,0.2,60,58,48,0.8276
20,0.3,60,58,48,0.8276
20,0.4,60,59,50,0.8475
20,0.5,43,43,39,0.907
20,0.6,60,57,50,0.8772
20,0.7,60,58,51,0.8793
20,0.8,60,59,52,0.8814
20,0.9,60,59,51,0.8644
20,1.0,43,42,40,0.9524
20,1.5,43,43,39,0.907
20,2.0,43,43,41,0.9535
20,2.5,43,43,41,0.9535
21,0.1,60,58,48,0.8276
21,0.2,60,58,47,0.8103
21,0.3,60,59,52,0.8814
21,0.4,60,59,53,0.8983
21,0.5,43,43,40,0.9302
21,0.6,60,59,53,0.8983
21,0.7,60,58,54,0.931
21,0.8,60,58,54,0.931
21,0.9,60,58,52,0.8966
21,1.0,43,43,42,0.9767
21,1.5,43,43,42,0.9767
21,2.0,43,42,38,0.9048
21,2.5,43,43,40,0.9302
22,0.1,60,57,48,0.8421
22,0.2,60,57,47,0.8246
22,0.3,60,59,49,0.8305
22,0.4,60,58,49,0.8448
22,0.5,43,41,38,0.9268
22,0.6,60,59,51,0.8644
22,0.7,60,57,53,0.9298
22,0.8,60,59,55,0.9322
22,0.9,60,59,55,0.9322
22,1.0,43,42,41,0.9762
22,1.5,43,42,41,0.9762
22,2.0,43,41,38,0.9268
22,2.5,43,41,38,0.9268
23,0.1,60,60,47,0.7833
23,0.2,60,60,48,0.8
23,0.3,60,60,48,0.8
23,0.4,60,60,49,0.8167
23,0.5,43,43,36,0.8372
23,0.6,60,60,50,0.8333
23,0.7,60,60,51,0.85
23,0.8,60,60,52,0.8667
23,0.9,60,59,51,0.8644
23,1.0,43,43,40,0.9302
23,1.5,43,43,39,0.907
23,2.0,43,43,40,0.9302
23,2.5,43,43,41,0.9535
24,0.1,60,59,43,0.7288
24,0.2,60,59,44,0.7458
24,0.3,60,59,45,0.7627
24,0.4,60,57,44,0.7719
24,0.5,43,42,35,0.8333
24,0.6,60,58,46,0.7931
24,0.7,60,56,46,0.8214
24,0.8,60,59,50,0.8475
24,0.9,60,59,50,0.8475
24,1.0,43,41,37,0.9024
24,1.5,43,40,37,0.925
24,2.0,43,41,39,0.9512
24,2.5,43,42,39,0.9286
25,0.1,43,42,35,0.8333
25,0.2,43,41,34,0.8293
25,0.3,43,41,34,0.8293
25,0.4,43,41,34,0.8293
25,0.5,43,43,36,0.8372
25,0.6,43,42,36,0.8571
25,0.7,43,42,37,0.881
25,0.8,43,42,38,0.9048
25,0.9,43,39,35,0.8974
25,1.0,43,43,38,0.8837
25,1.5,43,43,39,0.907
25,2.0,43,42,39,0.9286
25,2.5,43,43,40,0.9302
26,0.1,43,43,33,0.7674
26,0.2,43,43,34,0.7907
26,0.3,43,43,34,0.7907
26,0.4,43,43,34,0.7907
26,0.5,43,43,36,0.8372
26,0.6,43,42,37,0.881
26,0.7,43,43,38,0.8837
26,0.8,43,43,36,0.8372
26,0.9,43,42,35,0.8333
26,1.0,43,43,36,0.8372
26,1.5,43,43,37,0.8605
26,2.0,43,43,39,0.907
26,2.5,43,43,40,0.9302
27,0.1,43,43,34,0.7907
27,0.2,43,42,32,0.7619
27,0.3,43,43,34,0.7907
27,0.4,43,43,34,0.7907
27,0.5,43,41,34,0.8293
27,0.6,43,43,35,0.814
27,0.7,43,42,36,0.8571
27,0.8,43,41,34,0.8293
27,0.9,43,43,36,0.8372
27,1.0,43,41,34,0.8293
27,1.5,43,42,33,0.7857
27,2.0,43,42,35,0.8333
27,2.5,43,41,35,0.8537
28,0.1,43,43,33,0.7674
28,0.2,43,43,34,0.7907
28,0.3,43,43,35,0.814
28,0.4,43,43,34,0.7907
28,0.5,43,41,34,0.8293
28,0.6,43,43,34,0.7907
28,0.7,43,43,34,0.7907
28,0.8,43,43,35,0.814
28,0.9,43,42,36,0.8571
28,1.0,43,41,36,0.878
28,1.5,43,41,36,0.878
28,2.0,43,41,34,0.8293
28,2.5,43,41,34,0.8293
29,0.1,43,41,31,0.7561
29,0.2,43,43,32,0.7442
29,0.3,43,43,34,0.7907
29,0.4,43,43,34,0.7907
29,0.5,43,42,34,0.8095
29,0.6,43,43,34,0.7907
29,0.7,43,43,34,0.7907
29,0.8,43,43,34,0.7907
29,0.9,43,40,31,0.775
29,1.0,43,42,35,0.8333
29,1.5,43,41,33,0.8049
29,2.0,43,41,33,0.8049
29,2.5,43,41,34,0.8293
30,0.1,43,43,32,0.7442
30,0.2,43,43,32,0.7442
30,0.3,43,42,34,0.8095
30,0.4,43,43,35,0.814
30,0.5,43,40,34,0.85
30,0.6,43,43,35,0.814
30,0.7,43,43,35,0.814
30,0.8,43,41,34,0.8293
30,0.9,43,41,34,0.8293
30,1.0,43,40,34,0.85
30,1.5,43,39,32,0.8205
30,2.0,43,39,31,0.7949
30,2.5,43,39,31,0.7949
31,0.1,43,43,32,0.7442
31,0.2,43,43,33,0.7674
31,0.3,43,42,32,0.7619
31,0.4,43,42,33,0.7857
31,0.5,43,43,34,0.7907
31,0.6,43,43,35,0.814
31,0.7,43,42,34,0.8095
31,0.8,43,41,34,0.8293
31,0.9,43,41,33,0.8049
31,1.0,43,43,35,0.814
31,1.5,43,43,34,0.7907
31,2.0,43,43,33,0.7674
31,2.5,43,43,34,0.7907
32,0.1,43,43,33,0.7674
32,0.2,43,43,33,0.7674
32,0.3,43,43,36,0.8372
32,0.4,43,43,36,0.8372
32,0.5,43,43,35,0.814
32,0.6,43,43,36,0.8372
32,0.7,43,42,35,0.8333
32,0.8,43,43,36,0.8372
32,0.9,43,42,35,0.8333
32,1.0,43,43,35,0.814
32,1.5,43,42,34,0.8095
32,2.0,43,43,34,0.7907
32,2.5,43,43,34,0.7907
33,0.1,43,43,32,0.7442
33,0.2,43,43,32,0.7442
33,0.3,43,43,34,0.7907
33,0.4,43,42,33,0.7857
33,0.5,43,43,33,0.7674
33,0.6,43,43,34,0.7907
33,0.7,43,43,34,0.7907
33,0.8,43,43,34,0.7907
33,0.9,43,41,33,0.8049
33,1.0,43,43,34,0.7907
33,1.5,43,41,31,0.7561
33,2.0,43,42,31,0.7381
33,2.5,43,43,34,0.7907
34,0.1,43,42,32,0.7619
34,0.2,43,42,32,0.7619
