layer,alpha,n_total,n_valid,n_match,success_rate
0,0.5,54,54,52,0.963
0,1.0,54,54,52,0.963
0,1.5,54,54,52,0.963
0,2.0,54,54,52,0.963
0,2.5,54,54,52,0.963
1,0.5,54,54,51,0.9444
1,1.0,54,54,51,0.9444
1,1.5,54,54,51,0.9444
1,2.0,54,53,50,0.9434
1,2.5,54,53,50,0.9434
2,0.5,54,54,52,0.963
2,1.0,54,54,52,0.963
2,1.5,54,53,52,0.9811
2,2.0,54,52,50,0.9615
2,2.5,54,54,52,0.963
3,0.5,54,54,52,0.963
3,1.0,54,54,52,0.963
3,1.5,54,54,52,0.963
3,2.0,54,52,50,0.9615
3,2.5,54,54,52,0.963
4,0.5,54,54,52,0.963
4,1.0,54,54,52,0.963
4,1.5,54,54,52,0.963
4,2.0,54,54,52,0.963
4,2.5,54,54,52,0.963
5,0.5,54,54,51,0.9444
5,1.0,54,54,51,0.9444
5,1.5,54,53,50,0.9434
5,2.0,54,54,51,0.9444
5,2.5,54,54,52,0.963
6,0.5,54,54,51,0.9444
6,1.0,54,54,51,0.9444
6,1.5,54,54,51,0.9444
6,2.0,54,54,51,0.9444
6,2.5,54,52,49,0.9423
7,0.5,54,54,52,0.963
7,1.0,54,53,51,0.9623
7,1.5,54,53,51,0.9623
7,2.0,54,54,52,0.963
7,2.5,54,54,52,0.963
8,0.5,54,54,52,0.963
8,1.0,54,54,52,0.963
8,1.5,54,54,52,0.963
8,2.0,54,54,53,0.9815
8,2.5,54,52,51,0.9808
9,0.5,54,54,52,0.963
9,1.0,54,54,52,0.963
9,1.5,54,54,52,0.963
9,2.0,54,53,51,0.9623
9,2.5,54,53,52,0.9811
10,0.5,54,54,52,0.963
10,1.0,54,54,52,0.963
10,1.5,54,53,51,0.9623
10,2.0,54,54,52,0.963
10,2.5,54,53,51,0.9623
11,0.5,54,54,52,0.963
11,1.0,54,54,52,0.963
11,1.5,54,54,52,0.963
11,2.0,54,54,52,0.963
11,2.5,54,53,51,0.9623
12,0.5,54,54,51,0.9444
12,1.0,54,54,51,0.9444
12,1.5,54,53,50,0.9434
12,2.0,54,54,51,0.9444
12,2.5,54,54,51,0.9444
13,0.5,54,54,52,0.963
13,1.0,54,54,52,0.963
13,1.5,54,54,52,0.963
13,2.0,54,54,52,0.963
13,2.5,54,54,52,0.963
14,0.5,54,54,52,0.963
14,1.0,54,54,52,0.963
14,1.5,54,53,52,0.9811
14,2.0,54,54,53,0.9815
14,2.5,54,54,53,0.9815
15,0.5,54,54,52,0.963
15,1.0,54,54,52,0.963
15,1.5,54,53,51,0.9623
15,2.0,54,52,50,0.9615
15,2.5,54,53,52,0.9811
16,0.5,54,54,52,0.963
16,1.0,54,54,53,0.9815
16,1.5,54,54,53,0.9815
16,2.0,54,53,52,0.9811
16,2.5,54,54,53,0.9815
17,0.5,54,54,53,0.9815
17,1.0,54,54,54,1.0
17,1.5,54,54,54,1.0
17,2.0,54,54,53,0.9815
17,2.5,54,53,52,0.9811
18,0.5,54,54,53,0.9815
18,1.0,54,54,54,1.0
18,1.5,54,54,54,1.0
18,2.0,54,54,54,1.0
18,2.5,54,54,54,1.0
19,0.5,54,54,54,1.0
19,1.0,54,54,54,1.0
19,1.5,54,54,54,1.0
19,2.0,54,53,53,1.0
19,2.5,54,54,54,1.0
20,0.5,54,54,54,1.0
20,1.0,54,54,53,0.9815
20,1.5,54,53,53,1.0
20,2.0,54,54,54,1.0
20,2.5,54,54,53,0.9815
21,0.5,54,53,53,1.0
21,1.0,54,52,52,1.0
21,1.5,54,53,52,0.9811
21,2.0,54,53,52,0.9811
21,2.5,54,52,49,0.9423
22,0.5,54,54,54,1.0
22,1.0,54,53,53,1.0
22,1.5,54,54,53,0.9815
22,2.0,54,53,51,0.9623
22,2.5,54,54,53,0.9815
23,0.5,54,54,54,1.0
23,1.0,54,54,54,1.0
23,1.5,54,54,54,1.0
23,2.0,54,54,54,1.0
23,2.5,54,54,53,0.9815
24,0.5,54,54,54,1.0
24,1.0,54,54,52,0.963
24,1.5,54,54,53,0.9815
24,2.0,54,54,54,1.0
24,2.5,54,53,53,1.0
25,0.5,54,54,53,0.9815
25,1.0,54,54,51,0.9444
25,1.5,54,53,49,0.9245
25,2.0,54,54,52,0.963
25,2.5,54,53,52,0.9811
26,0.5,54,53,51,0.9623
26,1.0,54,53,52,0.9811
26,1.5,54,53,51,0.9623
26,2.0,54,54,53,0.9815
26,2.5,54,54,54,1.0
27,0.5,54,54,53,0.9815
27,1.0,54,54,54,1.0
27,1.5,54,52,51,0.9808
27,2.0,54,53,51,0.9623
27,2.5,54,54,54,1.0
28,0.5,54,53,51,0.9623
28,1.0,54,54,53,0.9815
28,1.5,54,54,53,0.9815
28,2.0,54,53,53,1.0
28,2.5,54,53,53,1.0
29,0.5,54,54,50,0.9259
29,1.0,54,54,51,0.9444
29,1.5,54,54,52,0.963
29,2.0,54,54,52,0.963
29,2.5,54,54,52,0.963
30,0.5,54,54,52,0.963
30,1.0,54,53,51,0.9623
30,1.5,54,54,53,0.9815
30,2.0,54,54,54,1.0
30,2.5,54,54,54,1.0
