layer,alpha,n_total,n_valid,n_match,success_rate
0,0.1,63,63,58,0.9206
0,0.2,63,63,58,0.9206
0,0.3,63,63,58,0.9206
0,0.4,63,63,58,0.9206
0,0.5,63,62,57,0.9194
0,0.6,63,63,57,0.9048
0,0.7,63,61,55,0.9016
0,0.8,63,63,57,0.9048
0,0.9,63,59,54,0.9153
0,1.0,63,63,58,0.9206
0,1.5,63,63,58,0.9206
0,2.0,63,62,57,0.9194
0,2.5,63,62,57,0.9194
1,0.1,63,63,58,0.9206
1,0.2,63,63,58,0.9206
1,0.3,63,63,58,0.9206
1,0.4,63,63,58,0.9206
1,0.5,63,63,58,0.9206
1,0.6,63,60,55,0.9167
1,0.7,63,62,57,0.9194
1,0.8,63,61,57,0.9344
1,0.9,63,62,57,0.9194
1,1.0,63,63,58,0.9206
1,1.5,63,62,57,0.9194
1,2.0,63,62,57,0.9194
1,2.5,63,62,58,0.9355
2,0.1,63,63,57,0.9048
2,0.2,63,62,56,0.9032
2,0.3,63,63,57,0.9048
2,0.4,63,63,57,0.9048
2,0.5,63,63,58,0.9206
2,0.6,63,61,56,0.918
2,0.7,63,63,58,0.9206
2,0.8,63,62,57,0.9194
2,0.9,63,60,55,0.9167
2,1.0,63,63,59,0.9365
2,1.5,63,62,58,0.9355
2,2.0,63,63,59,0.9365
2,2.5,63,62,58,0.9355
3,0.1,63,63,57,0.9048
3,0.2,63,62,57,0.9194
3,0.3,63,63,57,0.9048
3,0.4,63,60,54,0.9
3,0.5,63,63,59,0.9365
3,0.6,63,62,57,0.9194
3,0.7,63,61,56,0.918
3,0.8,63,63,58,0.9206
3,0.9,63,62,58,0.9355
3,1.0,63,63,59,0.9365
3,1.5,63,63,59,0.9365
3,2.0,63,63,59,0.9365
3,2.5,63,62,59,0.9516
4,0.1,63,63,57,0.9048
4,0.2,63,63,57,0.9048
4,0.3,63,63,57,0.9048
4,0.4,63,63,57,0.9048
4,0.5,63,63,58,0.9206
4,0.6,63,63,58,0.9206
4,0.7,63,63,58,0.9206
4,0.8,63,61,57,0.9344
4,0.9,63,62,58,0.9355
4,1.0,63,63,58,0.9206
4,1.5,63,63,58,0.9206
4,2.0,63,63,58,0.9206
4,2.5,63,63,58,0.9206
5,0.1,63,63,58,0.9206
5,0.2,63,63,58,0.9206
5,0.3,63,63,58,0.9206
5,0.4,63,63,57,0.9048
5,0.5,63,63,57,0.9048
5,0.6,63,62,56,0.9032
5,0.7,63,63,57,0.9048
5,0.8,63,62,56,0.9032
5,0.9,63,62,56,0.9032
5,1.0,63,62,56,0.9032
5,1.5,63,63,58,0.9206
5,2.0,63,63,58,0.9206
5,2.5,63,62,57,0.9194
6,0.1,63,63,57,0.9048
6,0.2,63,62,56,0.9032
6,0.3,63,62,56,0.9032
6,0.4,63,63,57,0.9048
6,0.5,63,62,57,0.9194
6,0.6,63,63,58,0.9206
6,0.7,63,62,57,0.9194
6,0.8,63,63,58,0.9206
6,0.9,63,62,57,0.9194
6,1.0,63,63,58,0.9206
6,1.5,63,63,58,0.9206
6,2.0,63,63,58,0.9206
6,2.5,63,63,58,0.9206
7,0.1,63,63,58,0.9206
7,0.2,63,63,58,0.9206
7,0.3,63,63,58,0.9206
7,0.4,63,63,58,0.9206
7,0.5,63,62,57,0.9194
7,0.6,63,60,55,0.9167
7,0.7,63,63,59,0.9365
7,0.8,63,63,58,0.9206
7,0.9,63,61,56,0.918
7,1.0,63,63,59,0.9365
7,1.5,63,62,58,0.9355
7,2.0,63,63,59,0.9365
7,2.5,63,62,58,0.9355
8,0.1,63,63,57,0.9048
8,0.2,63,63,57,0.9048
8,0.3,63,63,57,0.9048
8,0.4,63,62,57,0.9194
8,0.5,63,63,60,0.9524
8,0.6,63,63,59,0.9365
8,0.7,63,63,59,0.9365
8,0.8,63,62,58,0.9355
8,0.9,63,61,57,0.9344
8,1.0,63,63,60,0.9524
8,1.5,63,62,59,0.9516
8,2.0,63,62,59,0.9516
8,2.5,63,62,60,0.9677
9,0.1,63,62,57,0.9194
9,0.2,63,63,58,0.9206
9,0.3,63,63,59,0.9365
9,0.4,63,63,59,0.9365
9,0.5,63,63,59,0.9365
9,0.6,63,62,58,0.9355
9,0.7,63,62,58,0.9355
9,0.8,63,60,56,0.9333
9,0.9,63,62,58,0.9355
9,1.0,63,62,58,0.9355
9,1.5,63,63,59,0.9365
9,2.0,63,60,57,0.95
9,2.5,63,62,59,0.9516
