layer,alpha,n_total,n_valid,n_match,success_rate
0,0.5,66,66,58,0.8788
0,1.0,66,66,58,0.8788
0,1.5,66,66,58,0.8788
0,2.0,66,66,58,0.8788
0,2.5,66,64,56,0.875
1,0.5,66,66,58,0.8788
1,1.0,66,64,56,0.875
1,1.5,66,65,57,0.8769
1,2.0,66,66,57,0.8636
1,2.5,66,64,55,0.8594
2,0.5,66,65,56,0.8615
2,1.0,66,66,58,0.8788
2,1.5,66,66,58,0.8788
2,2.0,66,66,58,0.8788
2,2.5,66,65,57,0.8769
3,0.5,66,66,57,0.8636
3,1.0,66,66,57,0.8636
3,1.5,66,66,58,0.8788
3,2.0,66,65,57,0.8769
3,2.5,66,64,56,0.875
4,0.5,66,66,58,0.8788
4,1.0,66,66,56,0.8485
4,1.5,66,66,57,0.8636
4,2.0,66,66,57,0.8636
4,2.5,66,65,57,0.8769
5,0.5,66,66,57,0.8636
5,1.0,66,65,55,0.8462
5,1.5,66,66,57,0.8636
5,2.0,66,65,57,0.8769
5,2.5,66,66,58,0.8788
6,0.5,66,66,59,0.8939
6,1.0,66,66,59,0.8939
6,1.5,66,66,59,0.8939
6,2.0,66,65,58,0.8923
6,2.5,66,64,57,0.8906
7,0.5,66,66,59,0.8939
7,1.0,66,66,59,0.8939
7,1.5,66,66,61,0.9242
7,2.0,66,65,60,0.9231
7,2.5,66,64,59,0.9219
8,0.5,66,65,61,0.9385
8,1.0,66,65,61,0.9385
8,1.5,66,66,62,0.9394
8,2.0,66,66,63,0.9545
8,2.5,66,65,62,0.9538
9,0.5,66,66,60,0.9091
9,1.0,66,66,61,0.9242
9,1.5,66,66,62,0.9394
9,2.0,66,65,62,0.9538
9,2.5,66,66,63,0.9545
10,0.5,66,66,59,0.8939
10,1.0,66,66,59,0.8939
10,1.5,66,66,60,0.9091
10,2.0,66,66,61,0.9242
10,2.5,66,64,59,0.9219
11,0.5,66,66,59,0.8939
11,1.0,66,66,59,0.8939
11,1.5,66,66,59,0.8939
11,2.0,66,64,58,0.9062
11,2.5,66,66,60,0.9091
12,0.5,66,66,58,0.8788
12,1.0,66,66,58,0.8788
12,1.5,66,66,59,0.8939
12,2.0,66,66,59,0.8939
12,2.5,66,65,59,0.9077
13,0.5,66,66,58,0.8788
13,1.0,66,66,59,0.8939
13,1.5,66,66,59,0.8939
13,2.0,66,66,60,0.9091
13,2.5,66,63,58,0.9206
14,0.5,66,66,58,0.8788
14,1.0,66,65,57,0.8769
14,1.5,66,66,58,0.8788
14,2.0,66,66,58,0.8788
14,2.5,66,66,58,0.8788
15,0.5,66,65,57,0.8769
15,1.0,66,66,58,0.8788
15,1.5,66,66,59,0.8939
15,2.0,66,66,60,0.9091
15,2.5,66,63,57,0.9048
16,0.5,66,66,62,0.9394
16,1.0,66,65,62,0.9538
16,1.5,66,66,64,0.9697
16,2.0,66,66,65,0.9848
16,2.5,66,65,64,0.9846
17,0.5,66,66,62,0.9394
17,1.0,66,65,64,0.9846
17,1.5,66,66,64,0.9697
17,2.0,66,64,63,0.9844
17,2.5,66,65,62,0.9538
18,0.5,66,66,65,0.9848
18,1.0,66,66,66,1.0
18,1.5,66,65,65,1.0
18,2.0,66,65,65,1.0
18,2.5,66,66,65,0.9848
19,0.5,66,66,66,1.0
19,1.0,66,66,66,1.0
19,1.5,66,66,66,1.0
19,2.0,66,66,66,1.0
19,2.5,66,65,64,0.9846
20,0.5,66,66,66,1.0
20,1.0,66,66,66,1.0
20,1.5,66,66,65,0.9848
20,2.0,66,65,63,0.9692
20,2.5,66,65,63,0.9692
21,0.5,66,66,66,1.0
21,1.0,66,66,66,1.0
